Data;Palmeira;Altura Palmeira (m);Área;Quadrante;Número;Família;Gênero;Espécie;Altura (cm);Dap (mm);Nativa;Estágio sucessional;Obs;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;4;4788;Sapindaceae ;Allophylus ;Allophylus edulis;25;2,23;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;4;4789;Sapindaceae;Allophylus ;Allophylus edulis;20;2,12;S;Secundária Inicial;idem 4774;;;;;;;;;;;;;;;;;;;;;
7/2/2020;6;6;Externo;4;4790;Sapindaceae ;Allophylus ;Allophylus edulis;22;2,04;S;Secundária Inicial;idem 4788;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Copa;1;4791;Rubiaceae;Coffea;Coffea arabica;89;5,48;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Copa;1;4792;Arecaceae;Euterpe;Euterpe edulis;23;3,09;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Copa;2;4793;Sapindaceae;Cupania;Cupania oblongifolia;64;7,75;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Copa;2;4794;Sapindaceae;Cupania;Cupania oblongifolia;47;7;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Copa;3;4795;Sapindaceae;Cupania;Cupania oblongifolia;34;4,33;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Copa;3;4796;Arecaceae;Archontophoenix;Archontophoenix cunninghamiana;22;3,73;N;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Copa;4;4798;Sapindaceae;Cupania;Cupania oblongifolia;66;9,5;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Copa;4;4799;Sapindaceae;Cupania;Cupania oblongifolia;28;3,17;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Copa;4;4800;Sapindaceae;Cupania;Cupania oblongifolia;22;4,93;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Copa;4;4801;Rubiaceae;Psychotria;Psychotria suterella;250;28,5;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;1;4802;Sapindaceae;Cupania;Cupania oblongifolia;20;1,18;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;1;4803;Rubiaceae;Coffea;Coffea arabica;79;4,57;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;1;4804;Rubiaceae;Coffea;Coffea arabica;64;4,18;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;1;4806;Rubiaceae;Coffea;Coffea arabica;100;9,37;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;1;4807;Rubiaceae;Coffea;Coffea arabica;175;9,91;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;1;4808;Rubiaceae;Coffea;Coffea arabica;500;20;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;1;4810;Rubiaceae;Coffea;Coffea arabica;35;4,24;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;1;4811;Rubiaceae;Coffea;Coffea arabica;24;2;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;1;4812;Sapindaceae;Cupania;Cupania oblongifolia;87;10,77;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;2;4814;Arecaceae;Euterpe;Euterpe edulis;93;10,8;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;2;4815;Rubiaceae;Coffea;Coffea arabica;71;4,93;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;3;4817;Myrtaceae;Eugenia;Eugenia brasiliensis;28;5,83;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;3;4818;Sapindaceae;Cupania;Cupania oblongifolia;20;2,69;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;3;4819;Arecaceae;Euterpe;Euterpe edulis;20;3,61;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;3;4820;Sapindaceae;Cupania;Cupania oblongifolia;30;5,91;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;3;4821;Moraceae; Sorocea; Sorocea bonplandii;300;38,61;S;Secundária Tardia;BOSA et al;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;3;4822;Myrtaceae;Myrciaria;Myrciaria floribunda;300;27,95;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;3;4823;Sapindaceae;Cupania;Cupania oblongifolia;52;7,22;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;3;4824;Sapindaceae;Cupania;Cupania oblongifolia;50;4,66;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;4;4825;Rubiaceae;Coffea;Coffea arabica;20;2,11;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;4;4826;Myrtaceae;Myrciaria;Myrciaria sp;56;4,62;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;4;4827;Myrtaceae;Myrciaria;Myrciaria sp;75;7,03;S;Secundária Inicial;idem 4826;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;4;4828;Myrtaceae;Eugenia;Myrciaria sp;79;6,63;S;Secundária Inicial;idem 4826;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;4;4829;Myrtaceae;Eugenia;Myrciaria sp;29;2,53;S;Secundária Inicial;idem 4826;;;;;;;;;;;;;;;;;;;;;
14/7/2020;7;6;Externo;4;4830;Sapindaceae;Cupania;Cupania oblongifolia;20;2,87;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;1;4838;Sapindaceae;Cupania;Cupania oblongifolia;20;3,05;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;1;4839;Moraceae; Sorocea; Sorocea bonplandii;180;16,72;S;Secundária Tardia;BOSA et al;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;1;4840;Myrtaceae;Myrciaria;Myrciaria floribunda;700;80;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;2;4831;Sapindaceae;Cupania;Cupania oblongifolia;20;2,1;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;2;4832;Sapindaceae;Cupania;Cupania oblongifolia;50;2,16;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;2;4833;Sapindaceae;Cupania;Cupania oblongifolia;600;44,84;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;2;4834;Myrtaceae;Eugenia;Eugenia brasiliensis;49;10,75;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;2;4835;Sapindaceae;Cupania;Cupania oblongifolia;70;11,5;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;3;4837;Sapindaceae;Cupania;Cupania oblongifolia;21;3,93;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;3;4841;Sapindaceae;Cupania;Cupania oblongifolia;22;3,23;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;4;4842;Arecaceae;Euterpe;Euterpe edulis;27;4,48;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;4;4843;Sapindaceae;Cupania;Cupania oblongifolia;400;22,61;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Copa;4;4844;Sapindaceae;Cupania;Cupania oblongifolia;98;14,35;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;1;4845;Sapindaceae;Cupania;Cupania oblongifolia;47;4,72;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;1;4846;Sapindaceae;Cupania;Cupania oblongifolia;49;4,62;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;1;4847;Sapindaceae;Cupania;Cupania oblongifolia;24;3,14;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;2;4848;Sapindaceae;Matayba;Matayba elaeagnoides;39;3,85;S;Secundária Tardia;idem 4834;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;2;4849;Sapindaceae;Cupania;Cupania oblongifolia;54;5,6;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;2;4850;Sapindaceae;Cupania;Cupania oblongifolia;28;3,3;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;2;4851;Myrtaceae;Myrciaria;Myrciaria floribunda;51;4,93;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;2;4852;Myrtaceae;Myrciaria;Myrciaria floribunda;23;2,05;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;2;4853;Sapindaceae;Cupania;Cupania oblongifolia;93;4,05;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;2;4854;Sapindaceae;Cupania;Cupania oblongifolia;250;23;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;2;4855;Sapindaceae;Cupania;Cupania oblongifolia;50;4,9;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;2;4856;Sapindaceae;Cupania;Cupania oblongifolia;68;9,95;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;3;4857;Sapindaceae;Cupania;Cupania oblongifolia;20;3,5;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;3;4858;Rubiaceae;Coffea;Coffea arabica;60;6,11;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;3;4860;Moraceae; Sorocea; Sorocea bonplandii;94;17,01;S;Secundária Tardia;BOSA et al;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;3;4861;Rubiaceae;Coffea;Coffea arabica;42;4,68;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;3;4862;Rubiaceae;Coffea;Coffea arabica;23;2;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;3;4863;Rubiaceae;Coffea;Coffea arabica;48;3;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;3;4864;Rubiaceae;Coffea;Coffea arabica;28;2,25;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;4;4865;Sapindaceae;Cupania;Cupania oblongifolia;79;7,79;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;4;4867;Sapindaceae;Cupania;Cupania oblongifolia;29;4,12;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
14/7/2020;8;6;Externo;4;4868;Sapindaceae;Cupania;Cupania oblongifolia;53;6,31;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Copa;1;4866;Arecaceae;Euterpe;Euterpe edulis;39;6,75;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Copa;1;4869;Arecaceae;Archontophoenix;Archontophoenix cunninghamiana;22;3,65;N;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Copa;2;4870;Sapindaceae;Cupania;Cupania oblongifolia;73;7,57;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Copa;2;4871;Sapindaceae;Cupania;Cupania oblongifolia;24;3,89;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Copa;3;4872;Moraceae; Sorocea; Sorocea bonplandii;300;35,54;S;Secundária Tardia;BOSA et al;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Copa;3;4873;Sapindaceae;Cupania;Cupania oblongifolia;170;20,5;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Copa;4;4874;Sapindaceae;Cupania;Cupania oblongifolia;27;4,85;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Copa;4;4875;Sapindaceae;Cupania;Cupania oblongifolia;72;7,82;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;1;4876;Arecaceae;Euterpe;Euterpe edulis;43;6,4;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;1;4878;Rubiaceae;Psychotria;Psychotria suterella;41;3,8;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;2;4880;Arecaceae;Euterpe;Euterpe edulis;54;10,58;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;2;4882;Monimiaceae;Mollinedia;Mollinedia clavigera;50;9,77;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;2;4883;Arecaceae;Euterpe;Euterpe edulis;65;7,87;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;2;4881;Arecaceae;Euterpe;Euterpe edulis;26;4,81;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;2;4877;Arecaceae;Euterpe;Euterpe edulis;23;4,16;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;2;4884;Indeterminada 9;Indeterminada 9;Indeterminada 9;28;3,37;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;3;4885;Sapindaceae;Cupania;Cupania oblongifolia;135;10,75;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;3;4886;Sapindaceae;Cupania;Cupania oblongifolia;39;4,82;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;3;4888;Sapindaceae;Cupania;Cupania oblongifolia;20;1,8;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;3;4887;Arecaceae;Archontophoenix;Archontophoenix cunninghamiana;26;1,4;N;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;3;4889;Sapindaceae;Cupania;Cupania oblongifolia;250;16,45;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;3;4890;Sapindaceae;Cupania;Cupania oblongifolia;37;6,13;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;9;6;Externo;4;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;1;4898;Arecaceae;Euterpe;Euterpe edulis;125;25,06;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;1;4892;Rubiaceae;Coffea;Coffea arabica;43;5,93;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;1;4891;Monimiaceae ;Mollinedia;Mollinedia schottiana;87;12,34;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;2;4900;Sapindaceae;Cupania;Cupania oblongifolia;45;12,54;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;2;4897;Rubiaceae;Psychotria;Psychotria suterella;150;40,79;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;2;4896;Indeterminada 7;Indeterminada 7;Indeterminada 7;20;1,74;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;2;4893;Sapindaceae ;Allophylus ;Allophylus petiolulatus;600;41,44;S;Secundária Inicial;"BARRETTO, E.H.P; CATHARINO, E.L.M.";;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;2;4899;Sapindaceae ;Allophylus ;Allophylus petiolulatus;800;67,13;S;Secundária Inicial;idem 4893;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;3;4894;Solanaceae;Cestrum ;Cestrum schlechtendalii;20;2,94;S;Pioneira;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;3;4898;Sapindaceae;Cupania;Cupania oblongifolia;20;2,21;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;3;4901;Arecaceae;Archontophoenix;Archontophoenix cunninghamiana;20;1,2;N;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;4;4902;Rubiaceae;Coffea;Coffea arabica;100;9,52;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;4;4903;Rubiaceae;Coffea;Coffea arabica;133;11,68;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Externo;4;4904;Rubiaceae;Coffea;Coffea arabica;55;5,41;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Copa;1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Copa;2;4905;Sapindaceae;Cupania;Cupania oblongifolia;20;4,75;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Copa;3;4907;Sapindaceae;Cupania;Cupania oblongifolia;38;4,23;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Copa;3;4908;Arecaceae;Euterpe;Euterpe edulis;22;4,01;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Copa;3;4909;Rutaceae;Citrus;Citrus sp;55;7,64;NA;Não Classificada;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Copa;3;4910;Rubiaceae;Coffea;Coffea arabica;75;4,75;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
4/8/2020;10;6;Copa;4;4911;Rubiaceae;Coffea;Coffea arabica;70;6,58;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
