"Data";"Palmeira";"Altura Palmeira (m)";"Área";"Quadrante";"Número";"Família";"Gênero";"Espécie";"Nome Popular";"Altura (cm)";"Dap (mm)";"Coletada";"Nativa";"Estágio sucessional";"Obs";"Identificação";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Copa";3;63;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";60;9,20;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Copa";3;64;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";42;5,00;"S";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Copa";3;65;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";43;5,50;"S";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Copa";3;66;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";20;4,20;"S";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Copa";3;67;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";40;4,20;"S";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Copa";4;68;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";28;2,50;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Copa";4;69;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";20;4,30;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Copa";4;70;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";22;3,40;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";1;71;"Monimiaceae";"Mollinedia";"Mollinedia uleana";"Pendente";45;5,50;"S";"S";"Secundária Tardia";"Mollinedia 1";"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";1;74;"Pittosporaceae";"Pittosporum ";"Pittosporum undulatum";"Pendente";65;5,50;"S";"N";"Não Classificada";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";1;75;"Monimiaceae";"Mollinedia";"Mollinedia clavigera";"Pendente";50;7,20;"S";"S";"Secundária Tardia";"Mollinedia 1";"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";1;80;"Meliaceae";"Guarea";"Guarea macrophylla";"Camboatá";20;6,80;"S";"S";"Secundária Inicial";"Estágio vide embrapa";"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";1;81;"Monimiaceae";"Mollinedia";"Mollinedia uleana";"Pendente";83;12,20;"S";"S";"Secundária Tardia";"Mollinedia 1";"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";1;82;"Myrtaceae";"Myrcia ";"Myrcia tijucensis";"Pendente";79;10,00;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";1;83;"Myrtaceae";"Myrcia ";"Myrcia tijucensis";"Pendente";119;11,00;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";1;84;"Fabaceae";"Machaerium";"Machaerium stipitatum";"Farinha seca";27;4,20;"S";"S";"Pioneira";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";1;87;"Rubiaceae";"Psychotria";"Psychotria suterella";"Pendente";27;2,80;"S";"S";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";2;91;"Indeterminada 1";"Indeterminada 1";"Indeterminada 1";"Indeterminada";24;8,70;"S";"NA";"Não Classificada";;;;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";2;98;"Solanaceae";"Cestrum ";"Cestrum schlechtendalii";"peroba-d´água";69;7,80;"S";"S";"Pioneira";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";2;100;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";20;2,90;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";3;101;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";66;5,90;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";3;102;"Myrtaceae";"Eugenia";"Eugenia brasiliensis";"Pendente";42;5,70;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";3;105;"Myrtaceae";"Eugenia";"Eugenia brasiliensis";"Pendente";48;6,10;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";3;107;"  Nyctaginaceae";"Guapira ";"Guapira opposita";"Maria-mole";52;7,20;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";4;109;"Monimiaceae";"Mollinedia";"Mollinedia uleana";"Pendente";46;11,00;"S";"S";"Secundária Tardia";"Mollinedia 1";"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";4;110;"Rubiaceae";"Psychotria";"Psychotria suterella";"Pendente";98;13,20;"S";"S";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";4;112;"Myrtaceae";"Myrcia ";"Myrcia tijucensis";"Pendente";24;3,20;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";4;113;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";47;4,25;"S";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";4;114;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";45;3,60;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
6/12/2019;3;3;"Externo";4;115;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";147;13,60;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";1;4654;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";40;7,80;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";1;4655;"Myrtaceae";"Myrcia ";"Myrcia tijucensis";"Pendente";22;2,70;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";2;4656;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";90;7,30;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";2;4657;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";105;13,60;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";2;4660;"Sapindaceae";"Matayba";"Matayba elaeagnoides";"Camboatá-branco";186;19,50;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";3;4661;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";43;3,10;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";3;4662;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";79;6,50;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";3;4663;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";87;7,10;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";3;4664;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";27;2,10;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";3;4665;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";170;41,30;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";4;4666;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";20;2,10;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";4;4667;"Myrtaceae";"Myrcia ";"Myrcia tijucensis";"Pendente";22;2,10;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";4;4668;"Myrtaceae";"Myrcia ";"Myrcia tijucensis";"Pendente";22;1,80;"N";"S";"Secundária Tardia";"idem 4667 (M. aff tijucensis)";"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Copa";4;4669;"Rutaceae";"Citrus";"Citrus sp";"Citrus";69;6,50;"N";"NA";"Não Classificada";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";1;"4669A";"Myrtaceae";"Myrciaria";"Myrciaria floribunda";"Pendente";79;8,70;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";1;4700;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";55;5,70;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";1;4670;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";43;5,20;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";1;4671;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";33;3,90;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";1;4672;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";20;2,80;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";1;4674;"Sapindaceae ";"Allophylus ";"Allophylus edulis";"Pendente";20;2,65;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";1;4673;"Melastomataceae";"Leandra";"Leandra dasytricha";"Pendente";150;3,75;"N";"S";"Pioneira";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";2;4675;"Arecaceae";"Archontophoenix ";"Archontophoenix cunninghamiana";"Palmeira australiana";67;12,30;"N";"N";"Não Classificada";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";2;4676;"Arecaceae";"Archontophoenix ";"Archontophoenix cunninghamiana";"Palmeira australiana";102;17,90;"N";"N";"Não Classificada";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";2;4677;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";29;3,60;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";2;4678;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";24;3,00;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";2;4679;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";54;4,30;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";2;4680;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";79;6,50;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";2;4681;"Rubiaceae";"Psychotria";"Psychotria suterella";"Pendente";37;2,70;"N";"S";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
11/12/2019;4;3;"Externo";2;4682;"Monimiaceae";"Mollinedia";"Mollinedia uleana";"Indeterminada";63;2,20;"S";"S";"Secundária Tardia";"Mollinedia 1";"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";3;4683;"Rubiaceae";"Psychotria";"Psychotria suterella";"Pendente";195;49,70;"N";"S";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";3;4684;"Primulaceae";"Myrsine ";"Myrsine umbellata";"Pendente";35;4,50;"S";"S";"Secundária Inicial";"Myrcini (capororocas *Myrcinaceae*. Antiga rapania unbelata?)";"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";3;4686;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";76;9,45;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";3;4687;"Lauraceae";"Nectrandra";"Nectandra barbellata";"Pendente";67;6,60;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";3;4688;"Lauraceae";"Nectrandra";"Nectandra barbellata";"Pendente";600;48,50;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";3;4689;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";350;30,90;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";3;4690;"Boraginaceae";"Cordia";"Cordia sellowiana";"Pendente";37;4,30;"S";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";3;4691;"Arecaceae";"Euterpe";"Euterpe edulis";"Juçara";23;3,55;"N";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";3;4692;"Myrtaceae";"Myrcia ";"Myrcia tijucensis";"Pendente";38;5,90;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";4;4693;"Rubiaceae";"Coffea ";"Coffea arabica";"Café";86;7,00;"N";"N";"Umbrófila";;"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";4;4694;"Indeterminada 6";"Indeterminada 6";"Indeterminada 6";"Pendente";20;3,00;"S";"NA";"Não Classificada";;;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";4;4695;"Indeterminada 6";"Indeterminada 6";"Indeterminada 6";"Pendente";35;4,80;"N";"NA";"Não Classificada";" idem 4694";;;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";4;4696;"Meliaceae";"Guarea";"Guarea macrophylla";"Camboatá";25;4,30;"S";"S";"Secundária Inicial";"Estágio vide embrapa";"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";4;4697;"Myrtaceae";"Myrciaria";"Myrciaria floribunda";"Pendente";32;2,30;"S";"S";"Secundária Tardia";;"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";4;4701;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";35;3,50;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
13/12/2019;4;3;"Externo";4;4702;"Sapindaceae";"Cupania";"Cupania oblongifolia";"Cuvatã";40;4,15;"N";"S";"Secundária Inicial";;"OK";;;;;;;;;;;;;;;;;;;;;
